file,sequence_id,frame_index,scene_name,global_id,instance_id,layer,slot,cluster,visibility,is_new,source_prototype,point_count,center_x,center_y,center_z,yaw_deg,diameter_nominal,length_nominal,dx_from_prev,dy_from_prev,dz_from_prev,observation,severity,occlusion_side,target_x,target_y,target_z,note
P00_F00_prototype_00.ply,P00,0,prototype_00,0,258,1,0,isolated,VISIBLE,0,mask_10_f.ply,5835,0,0,0.6349999690055848,0,1.1899999380111694,1.5900001525878906,,,,clean,0.0,none,,,,normalized real prototype; source X mapped to scene Y; RGB is global-ID visualization only
P00_F01_prototype_01.ply,P00,1,prototype_01,1,891,1,1,isolated,VISIBLE,0,mask_12_f.ply,7608,0,0,0.6432499670982361,0,1.2064999341964722,1.5600004196166992,,,,clean,0.0,none,,,,normalized real prototype; source X mapped to scene Y; RGB is global-ID visualization only
P00_F02_prototype_02.ply,P00,2,prototype_02,2,153,1,2,isolated,VISIBLE,0,mask_14_f.ply,7339,0,0,0.6600000047683716,0,1.2400000095367432,1.6900005340576172,,,,clean,0.0,none,,,,normalized real prototype; source X mapped to scene Y; RGB is global-ID visualization only
P00_F03_prototype_03.ply,P00,3,prototype_03,3,900,1,3,isolated,VISIBLE,0,mask_1_f.ply,8255,0,0,0.6299999141693116,0,1.179999828338623,1.6600008010864258,,,,clean,0.0,none,,,,normalized real prototype; source X mapped to scene Y; RGB is global-ID visualization only
P00_F04_prototype_04.ply,P00,4,prototype_04,4,242,1,4,isolated,VISIBLE,0,mask_5_f.ply,8733,0,0,0.640000023841858,0,1.2000000476837158,1.619999885559082,,,,clean,0.0,none,,,,normalized real prototype; source X mapped to scene Y; RGB is global-ID visualization only
P00_F05_prototype_05.ply,P00,5,prototype_05,5,252,1,5,isolated,VISIBLE,0,mask_6_f.ply,6518,0,0,0.6299999737739563,0,1.1799999475479126,1.619999885559082,,,,clean,0.0,none,,,,normalized real prototype; source X mapped to scene Y; RGB is global-ID visualization only
P00_F06_prototype_06.ply,P00,6,prototype_06,6,564,1,6,isolated,VISIBLE,0,mask_7_f.ply,7117,0,0,0.681750454902649,0,1.2835009098052979,1.5699987411499023,,,,clean,0.0,none,,,,normalized real prototype; source X mapped to scene Y; RGB is global-ID visualization only
P01_F00_baseline.ply,P01,0,baseline,2,315,1,2,single,VISIBLE,0,mask_14_f.ply,7339,5.0,0,0.6600000047683716,0.0,1.2400000095367432,1.6900005340576172,,,,clean,0.0,none,,,,single-coil observation stress; rollObs changes visible point sampling without rigid rotation around coil axis
P01_F01_rollObs_mild.ply,P01,1,rollObs_mild,2,771,1,2,single,VISIBLE,0,mask_14_f.ply,7122,5.0,0,0.6600000047683716,0.0,1.2400000095367432,1.6900005340576172,,,,roll_mild,0.0,none,,,,single-coil observation stress; rollObs changes visible point sampling without rigid rotation around coil axis | V3: rolling mismatch uses local surface perturbation + thinning/resampling only; no large contiguous wedge deletion.
P01_F02_rollObs_heavy.ply,P01,2,rollObs_heavy,2,435,1,2,single,VISIBLE,0,mask_14_f.ply,6369,5.0,0,0.6600000047683716,0.0,1.2400000095367432,1.6900005340576172,,,,roll_heavy,0.0,none,,,,single-coil observation stress; rollObs changes visible point sampling without rigid rotation around coil axis | V3: rolling mismatch uses local surface perturbation + thinning/resampling only; no large contiguous wedge deletion.
