pair_id,sequence_id,pair_type,previous_file,current_file,previous_frame_index,current_frame_index,recommended_for_id_eval
pair_000,C01,temporal_adjacent,C01_F00_left_complex_start.ply,C01_F01_far_gap_new_yaw.ply,0,1,1
pair_001,C01,temporal_adjacent,C01_F01_far_gap_new_yaw.ply,C01_F02_new_plus_partial_all_move.ply,1,2,1
pair_002,C01,temporal_adjacent,C01_F02_new_plus_partial_all_move.ply,C01_F03_third_new_large_gap.ply,2,3,1
pair_003,C01,temporal_adjacent,C01_F03_third_new_large_gap.ply,C01_F04_settling_rebound.ply,3,4,1
pair_004,C02,temporal_adjacent,C02_F00_right_complex_start.ply,C02_F01_right_far_gap_new.ply,0,1,1
pair_005,C02,temporal_adjacent,C02_F01_right_far_gap_new.ply,C02_F02_right_new_partial.ply,1,2,1
pair_006,C02,temporal_adjacent,C02_F02_right_new_partial.ply,C02_F03_right_third_new_yaw.ply,2,3,1
pair_007,C02,temporal_adjacent,C02_F03_right_third_new_yaw.ply,C02_F04_right_settling.ply,3,4,1
pair_008,C03,temporal_adjacent,C03_F00_two_side_complex_start.ply,C03_F01_left_new_far_gap.ply,0,1,1
pair_009,C03,temporal_adjacent,C03_F01_left_new_far_gap.ply,C03_F02_right_new_partial_left.ply,1,2,1
pair_010,C03,temporal_adjacent,C03_F02_right_new_partial_left.ply,C03_F03_two_new_both_sides.ply,2,3,1
pair_011,C03,temporal_adjacent,C03_F03_two_new_both_sides.ply,C03_F04_two_side_with_occluded.ply,3,4,1
pair_012,C03,temporal_adjacent,C03_F04_two_side_with_occluded.ply,C03_F05_occluded_return_partial.ply,4,5,1
pair_013,C04,temporal_adjacent,C04_F00_same_geom_start.ply,C04_F01_nearest_neighbor_trap.ply,0,1,1
pair_014,C04,temporal_adjacent,C04_F01_nearest_neighbor_trap.ply,C04_F02_same_spec_new_after_shift.ply,1,2,1
pair_015,C04,temporal_adjacent,C04_F02_same_spec_new_after_shift.ply,C04_F03_same_geom_partial_center.ply,2,3,1
pair_016,C04,temporal_adjacent,C04_F03_same_geom_partial_center.ply,C04_F04_same_geom_occluded.ply,3,4,1
pair_017,C05,temporal_adjacent,C05_F00_combo_start.ply,C05_F01_new_and_occluded_far_gap.ply,0,1,1
pair_018,C05,temporal_adjacent,C05_F01_new_and_occluded_far_gap.ply,C05_F02_occluded_returns_partial.ply,1,2,1
pair_019,C05,temporal_adjacent,C05_F02_occluded_returns_partial.ply,C05_F03_continued_loading_partial.ply,2,3,1
pair_020,C05,temporal_adjacent,C05_F03_continued_loading_partial.ply,C05_F04_combo_recovered.ply,3,4,1
pair_021,C06,temporal_adjacent,C06_F00_full_l1_start.ply,C06_F01_layer2_new_yaw.ply,0,1,1
pair_022,C06,temporal_adjacent,C06_F01_layer2_new_yaw.ply,C06_F02_second_layer2_new.ply,1,2,1
pair_023,C06,temporal_adjacent,C06_F02_second_layer2_new.ply,C06_F03_layer2_new_lower_occluded.ply,2,3,1
pair_024,C06,temporal_adjacent,C06_F03_layer2_new_lower_occluded.ply,C06_F04_layer2_motion_lower_return.ply,3,4,1
pair_025,C06,temporal_adjacent,C06_F04_layer2_motion_lower_return.ply,C06_F05_fourth_layer2_new.ply,4,5,1
pair_026,C07,temporal_adjacent,C07_F00_multi_new_start.ply,C07_F01_two_new_far_gaps_yaw.ply,0,1,1
pair_027,C07,temporal_adjacent,C07_F01_two_new_far_gaps_yaw.ply,C07_F02_second_multi_new.ply,1,2,1
pair_028,C07,temporal_adjacent,C07_F02_second_multi_new.ply,C07_F03_multi_new_then_occlusion.ply,2,3,1
pair_029,C07,temporal_adjacent,C07_F03_multi_new_then_occlusion.ply,C07_F04_multi_new_occlusion_return.ply,3,4,1
pair_030,C08,temporal_adjacent,C08_F00_hint_motion_start.ply,C08_F01_imperfect_hint_large_move.ply,0,1,1
