file,sequence_id,frame_index,layer1_occupied_slots,layer1_unoccupied_slots,left_cluster_slots,right_cluster_slots,full_L1_slots,normal_middle_free_slots,layer2_slots,num_new,num_partial,num_occluded
C01_F00_left_complex_start.ply,C01,0,0;1;2,3;4;5;6;7;8;9,0;1;2,,,,,0,0,0
C01_F01_far_gap_new_yaw.ply,C01,1,0;1;2;3,4;5;6;7;8;9,0;1;2;3,,,,,1,0,0
C01_F02_new_plus_partial_all_move.ply,C01,2,0;1;2;3;4,5;6;7;8;9,0;1;2;3;4,,,,,1,1,0
C01_F03_third_new_large_gap.ply,C01,3,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,1,1,0
C01_F04_settling_rebound.ply,C01,4,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
C02_F00_right_complex_start.ply,C02,0,7;8;9,0;1;2;3;4;5;6,,7;8;9,,,,0,0,0
C02_F01_right_far_gap_new.ply,C02,1,6;7;8;9,0;1;2;3;4;5,,6;7;8;9,,,,1,0,0
C02_F02_right_new_partial.ply,C02,2,5;6;7;8;9,0;1;2;3;4,,5;6;7;8;9,,,,1,1,0
C02_F03_right_third_new_yaw.ply,C02,3,4;5;6;7;8;9,0;1;2;3,,4;5;6;7;8;9,,,,1,0,0
C02_F04_right_settling.ply,C02,4,4;5;6;7;8;9,0;1;2;3,,4;5;6;7;8;9,,,,0,0,0
C03_F00_two_side_complex_start.ply,C03,0,0;1;8;9,2;3;4;5;6;7,0;1,8;9,,2;3;4;5;6;7,,0,0,0
C03_F01_left_new_far_gap.ply,C03,1,0;1;2;8;9,3;4;5;6;7,0;1;2,8;9,,3;4;5;6;7,,1,0,0
C03_F02_right_new_partial_left.ply,C03,2,0;1;2;7;8;9,3;4;5;6,0;1;2,7;8;9,,3;4;5;6,,1,1,0
C03_F03_two_new_both_sides.ply,C03,3,0;1;2;3;6;7;8;9,4;5,0;1;2;3,6;7;8;9,,4;5,,2,0,0
C03_F04_two_side_with_occluded.ply,C03,4,0;1;2;3;6;7;8;9,4;5,0;1;2;3,6;7;8;9,,4;5,,0,0,1
C03_F05_occluded_return_partial.ply,C03,5,0;1;2;3;6;7;8;9,4;5,0;1;2;3,6;7;8;9,,4;5,,0,1,0
C04_F00_same_geom_start.ply,C04,0,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
C04_F01_nearest_neighbor_trap.ply,C04,1,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
C04_F02_same_spec_new_after_shift.ply,C04,2,0;1;2;3;4;5;6,7;8;9,0;1;2;3;4;5;6,,,,,1,0,0
C04_F03_same_geom_partial_center.ply,C04,3,0;1;2;3;4;5;6,7;8;9,0;1;2;3;4;5;6,,,,,0,1,0
C04_F04_same_geom_occluded.ply,C04,4,0;1;2;3;4;5;6,7;8;9,0;1;2;3;4;5;6,,,,,0,0,1
C05_F00_combo_start.ply,C05,0,0;1;2;3,4;5;6;7;8;9,0;1;2;3,,,,,0,0,0
C05_F01_new_and_occluded_far_gap.ply,C05,1,0;1;2;3;4,5;6;7;8;9,0;1;2;3;4,,,,,1,0,1
C05_F02_occluded_returns_partial.ply,C05,2,0;1;2;3;4,5;6;7;8;9,0;1;2;3;4,,,,,0,1,0
C05_F03_continued_loading_partial.ply,C05,3,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,1,1,0
C05_F04_combo_recovered.ply,C05,4,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
C06_F00_full_l1_start.ply,C06,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,,0,0,0
C06_F01_layer2_new_yaw.ply,C06,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0,1,1,0
C06_F02_second_layer2_new.ply,C06,2,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1,1,1,0
C06_F03_layer2_new_lower_occluded.ply,C06,3,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2;2,1,0,1
C06_F04_layer2_motion_lower_return.ply,C06,4,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2,0,1,0
C06_F05_fourth_layer2_new.ply,C06,5,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2;3,1,0,0
C07_F00_multi_new_start.ply,C07,0,0;1;8;9,2;3;4;5;6;7,0;1,8;9,,2;3;4;5;6;7,,0,0,0
C07_F01_two_new_far_gaps_yaw.ply,C07,1,0;1;2;7;8;9,3;4;5;6,0;1;2,7;8;9,,3;4;5;6,,2,0,0
C07_F02_second_multi_new.ply,C07,2,0;1;2;3;6;7;8;9,4;5,0;1;2;3,6;7;8;9,,4;5,,2,1,0
C07_F03_multi_new_then_occlusion.ply,C07,3,0;1;2;3;6;7;8;9,4;5,0;1;2;3,6;7;8;9,,4;5,,0,0,1
C07_F04_multi_new_occlusion_return.ply,C07,4,0;1;2;3;6;7;8;9,4;5,0;1;2;3,6;7;8;9,,4;5,,0,1,0
C08_F00_hint_motion_start.ply,C08,0,0;1;2;3,4;5;6;7;8;9,0;1;2;3,,,,,0,0,0
C08_F01_imperfect_hint_large_move.ply,C08,1,0;1;2;3;4,5;6;7;8;9,0;1;2;3;4,,,,,1,0,0
C08_F02_second_imperfect_hint_group_shift.ply,C08,2,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,1,1,0
C08_F03_near_roi_group_translation.ply,C08,3,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
C08_F04_large_motion_rebound.ply,C08,4,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
