pair_id,sequence_id,pair_type,previous_file,current_file,previous_frame_index,current_frame_index,recommended_for_id_eval,num_gt_ids,num_new,num_current_occluded,num_current_partial
pair_000,P01,baseline_variant,P01_F00_baseline.ply,P01_F01_rollObs_mild.ply,0,1,1,1,0,0,0
pair_001,P01,baseline_variant,P01_F00_baseline.ply,P01_F02_rollObs_heavy.ply,0,2,1,1,0,0,0
pair_002,P01,baseline_variant,P01_F00_baseline.ply,P01_F03_yaw_p3.ply,0,3,1,1,0,0,0
pair_003,P01,baseline_variant,P01_F00_baseline.ply,P01_F04_yaw_n5.ply,0,4,1,1,0,0,0
pair_004,P01,baseline_variant,P01_F00_baseline.ply,P01_F05_moveX_p20.ply,0,5,1,1,0,0,0
pair_005,P01,baseline_variant,P01_F00_baseline.ply,P01_F06_moveX_p45_yaw_p4.ply,0,6,1,1,0,0,0
pair_006,P01,baseline_variant,P01_F00_baseline.ply,P01_F07_partial_mild.ply,0,7,1,1,0,0,1
pair_007,P01,baseline_variant,P01_F00_baseline.ply,P01_F08_partial_heavy.ply,0,8,1,1,0,0,1
pair_008,P01,baseline_variant,P01_F00_baseline.ply,P01_F09_top_dominant.ply,0,9,1,1,0,0,0
pair_009,P01,baseline_variant,P01_F00_baseline.ply,P01_F10_side_dominant.ply,0,10,1,1,0,0,0
pair_010,P01,baseline_variant,P01_F00_baseline.ply,P01_F11_degraded.ply,0,11,1,1,0,0,1
pair_011,P02,baseline_variant,P02_F00_edgeOcc_baseline.ply,P02_F01_edgeOcc_left_mild.ply,0,1,1,1,0,0,1
pair_012,P02,baseline_variant,P02_F00_edgeOcc_baseline.ply,P02_F02_edgeOcc_right_mild.ply,0,2,1,1,0,0,1
pair_013,P02,baseline_variant,P02_F00_edgeOcc_baseline.ply,P02_F03_edgeOcc_both_mild.ply,0,3,1,1,0,0,1
pair_014,P02,baseline_variant,P02_F00_edgeOcc_baseline.ply,P02_F04_edgeOcc_both_heavy.ply,0,4,1,1,0,0,1
pair_015,P02,baseline_variant,P02_F00_edgeOcc_baseline.ply,P02_F05_rollHeavy_noHole.ply,0,5,1,1,0,0,0
pair_016,S01,temporal_adjacent,S01_F00_left_growth_3.ply,S01_F01_left_growth_4.ply,0,1,1,4,1,0,0
pair_017,S01,temporal_adjacent,S01_F01_left_growth_4.ply,S01_F02_left_growth_5.ply,1,2,1,5,1,0,0
pair_018,S01,temporal_adjacent,S01_F02_left_growth_5.ply,S01_F03_left_growth_6.ply,2,3,1,6,1,0,0
pair_019,S02,temporal_adjacent,S02_F00_right_growth_3.ply,S02_F01_right_growth_4.ply,0,1,1,4,1,0,0
pair_020,S02,temporal_adjacent,S02_F01_right_growth_4.ply,S02_F02_right_growth_5.ply,1,2,1,5,1,0,0
pair_021,S03,temporal_adjacent,S03_F00_two_sides_4.ply,S03_F01_two_sides_5.ply,0,1,1,5,1,0,0
pair_022,S03,temporal_adjacent,S03_F01_two_sides_5.ply,S03_F02_two_sides_6.ply,1,2,1,6,1,0,0
pair_023,S03,temporal_adjacent,S03_F02_two_sides_6.ply,S03_F03_two_sides_7.ply,2,3,1,7,1,0,0
