pair_id,sequence_id,pair_type,previous_file,current_file,global_id,previous_instance_id,current_instance_id,relation_gt,visibility_event_gt,previous_visibility,current_visibility,is_new_gt,dx_gt_m,dy_gt_m,dz_gt_m,displacement_gt_m,layer_gt,slot_gt
pair_000,C01,temporal_adjacent,C01_F00_left_complex_start.ply,C01_F01_far_gap_new_yaw.ply,0,884,251,SAME_OBJECT,VISIBILITY_STABLE,VISIBLE,VISIBLE,0,0.030000000000000027,0.02,0.0,0.03605551275463992,1,0
pair_000,C01,temporal_adjacent,C01_F00_left_complex_start.ply,C01_F01_far_gap_new_yaw.ply,1,854,888,SAME_OBJECT,VISIBILITY_STABLE,VISIBLE,VISIBLE,0,0.06999999999999984,-0.03,0.010000000000000009,0.07681145747868594,1,1
pair_000,C01,temporal_adjacent,C01_F00_left_complex_start.ply,C01_F01_far_gap_new_yaw.ply,2,529,795,SAME_OBJECT,VISIBILITY_STABLE,VISIBLE,VISIBLE,0,0.1599999999999997,0.04,0.015000000000000013,0.16560495161679165,1,2
pair_000,C01,temporal_adjacent,C01_F00_left_complex_start.ply,C01_F01_far_gap_new_yaw.ply,3,,636,NEW,ABSENT_TO_VISIBLE,ABSENT,VISIBLE,1,,,,,1,3
pair_001,C01,temporal_adjacent,C01_F01_far_gap_new_yaw.ply,C01_F02_new_plus_partial_all_move.ply,0,251,282,SAME_OBJECT,VISIBILITY_STABLE,VISIBLE,VISIBLE,0,0.020000000000000018,-0.01,0.0050000000000000044,0.022912878474779217,1,0
pair_001,C01,temporal_adjacent,C01_F01_far_gap_new_yaw.ply,C01_F02_new_plus_partial_all_move.ply,1,888,702,SAME_OBJECT,VISIBILITY_STABLE,VISIBLE,VISIBLE,0,0.050000000000000044,0.02,-0.0050000000000000044,0.05408326913195988,1,1
pair_001,C01,temporal_adjacent,C01_F01_far_gap_new_yaw.ply,C01_F02_new_plus_partial_all_move.ply,2,795,157,SAME_OBJECT,VISIBLE_TO_PARTIAL_VISIBLE,VISIBLE,PARTIAL_VISIBLE,0,0.10000000000000009,-0.019999999999999997,0.010000000000000009,0.10246950765959606,1,2
pair_001,C01,temporal_adjacent,C01_F01_far_gap_new_yaw.ply,C01_F02_new_plus_partial_all_move.ply,3,636,170,SAME_OBJECT,VISIBILITY_STABLE,VISIBLE,VISIBLE,0,0.1899999999999995,-0.03,0.0,0.19235384061671296,1,3
pair_001,C01,temporal_adjacent,C01_F01_far_gap_new_yaw.ply,C01_F02_new_plus_partial_all_move.ply,4,,772,NEW,ABSENT_TO_VISIBLE,ABSENT,VISIBLE,1,,,,,1,4
pair_002,C01,temporal_adjacent,C01_F02_new_plus_partial_all_move.ply,C01_F03_third_new_large_gap.ply,0,282,142,SAME_OBJECT,VISIBILITY_STABLE,VISIBLE,VISIBLE,0,0.010000000000000009,0.01,0.0,0.014142135623730958,1,0
