pair_id,sequence_id,previous_file,current_file,wrong_id,new_tp,new_fp,new_fn,occ_tp,occ_fp,occ_fn,uncertain,validator_errors,total_ms,pass_primary
pair_081,S10,S10_F00_same_geometry_stress_0.ply,S10_F01_same_geometry_stress_1.ply,0,0,0,0,0,0,0,0,,116.526,True
pair_082,S10,S10_F01_same_geometry_stress_1.ply,S10_F02_same_geometry_stress_2.ply,0,0,0,0,0,0,0,0,,120.611,True
pair_073,S06,S06_F00_all_visible.ply,S06_F01_id2_partial.ply,0,0,0,0,0,0,0,0,,126.67,True
pair_074,S06,S06_F01_id2_partial.ply,S06_F02_id2_occluded.ply,0,0,0,0,1,0,0,0,,100.098,True
pair_075,S06,S06_F02_id2_occluded.ply,S06_F03_id2_return_partial.ply,0,0,0,0,0,0,0,0,,106.316,True
pair_076,S06,S06_F03_id2_return_partial.ply,S06_F04_recovered.ply,0,0,0,0,0,0,0,0,,110.056,True
pair_077,S07,S07_F00_baseline.ply,S07_F01_new_plus_occluded.ply,0,1,0,0,1,0,0,0,,106.821,True
pair_063,S03,S03_F00_two_sides_4.ply,S03_F01_two_sides_5.ply,0,1,0,0,0,0,0,0,,90.5,True
pair_064,S03,S03_F01_two_sides_5.ply,S03_F02_two_sides_6.ply,0,1,0,0,0,0,0,0,,104.145,True
pair_065,S03,S03_F02_two_sides_6.ply,S03_F03_two_sides_7.ply,0,1,0,0,0,0,0,0,,126.019,True
pair_066,S03,S03_F03_two_sides_7.ply,S03_F04_two_sides_8.ply,0,1,0,0,0,0,0,0,,153.17,True
pair_083,S11,S11_F00_L1_full_10.ply,S11_F01_L1_full_then_L2_new.ply,0,1,0,0,0,0,0,0,,211.744,True
pair_058,S01,S01_F00_left_growth_3.ply,S01_F01_left_growth_4.ply,0,1,0,0,0,0,0,0,,131.29,True
pair_059,S01,S01_F01_left_growth_4.ply,S01_F02_left_growth_5.ply,0,1,0,0,0,0,0,0,,97.688,True
pair_060,S01,S01_F02_left_growth_5.ply,S01_F03_left_growth_6.ply,0,1,0,0,0,0,0,0,,121.012,True
pair_061,S02,S02_F00_right_growth_3.ply,S02_F01_right_growth_4.ply,0,1,0,0,0,0,0,0,,73.509,True
pair_062,S02,S02_F01_right_growth_4.ply,S02_F02_right_growth_5.ply,0,1,0,0,0,0,0,0,,105.546,True
pair_070,S05,S05_F00_yaw_motion_0.ply,S05_F01_yaw_motion_1.ply,0,0,0,0,0,0,0,0,,149.977,True
pair_071,S05,S05_F01_yaw_motion_1.ply,S05_F02_yaw_motion_2.ply,0,0,0,0,0,0,0,0,,118.864,True
pair_072,S05,S05_F02_yaw_motion_2.ply,S05_F03_yaw_motion_3.ply,0,0,0,0,0,0,0,0,,118.126,True
pair_078,S08,S08_F00_two_layer_base.ply,S08_F01_add_layer2.ply,0,1,0,0,0,0,0,0,,238.901,True
pair_079,S08,S08_F01_add_layer2.ply,S08_F02_two_layer_rollobs.ply,0,0,0,0,0,0,0,0,,242.421,True
pair_080,S09,S09_F00_before_two_new.ply,S09_F01_two_new_simultaneous.ply,0,2,0,0,0,0,0,0,,134.575,True
pair_000,C01,C01_F00_left_complex_start.ply,C01_F01_far_gap_new_yaw.ply,0,1,0,0,0,0,0,0,,82.279,True
pair_001,C01,C01_F01_far_gap_new_yaw.ply,C01_F02_new_plus_partial_all_move.ply,0,1,0,0,0,0,0,0,,94.652,True
pair_002,C01,C01_F02_new_plus_partial_all_move.ply,C01_F03_third_new_large_gap.ply,0,1,0,0,0,0,0,0,,122.629,True
pair_003,C01,C01_F03_third_new_large_gap.ply,C01_F04_settling_rebound.ply,0,0,0,0,0,0,0,0,,123.892,True
pair_004,C02,C02_F00_right_complex_start.ply,C02_F01_right_far_gap_new.ply,0,1,0,0,0,0,0,0,,78.593,True
pair_005,C02,C02_F01_right_far_gap_new.ply,C02_F02_right_new_partial.ply,0,1,0,0,0,0,0,0,,105.934,True
pair_006,C02,C02_F02_right_new_partial.ply,C02_F03_right_third_new_yaw.ply,0,1,0,0,0,0,0,0,,119.293,True
pair_007,C02,C02_F03_right_third_new_yaw.ply,C02_F04_right_settling.ply,0,0,0,0,0,0,0,0,,132.989,True
pair_008,C03,C03_F00_two_side_complex_start.ply,C03_F01_left_new_far_gap.ply,0,1,0,0,0,0,0,0,,102.208,True
pair_009,C03,C03_F01_left_new_far_gap.ply,C03_F02_right_new_partial_left.ply,0,1,0,0,0,0,0,0,,120.712,True
pair_010,C03,C03_F02_right_new_partial_left.ply,C03_F03_two_new_both_sides.ply,0,2,0,0,0,0,0,0,,157.299,True
pair_011,C03,C03_F03_two_new_both_sides.ply,C03_F04_two_side_with_occluded.ply,0,0,0,0,1,0,0,0,,133.11,True
pair_012,C03,C03_F04_two_side_with_occluded.ply,C03_F05_occluded_return_partial.ply,0,0,0,0,0,0,0,0,,143.967,True
pair_013,C04,C04_F00_same_geom_start.ply,C04_F01_nearest_neighbor_trap.ply,0,0,0,0,0,0,0,0,,105.961,True
pair_014,C04,C04_F01_nearest_neighbor_trap.ply,C04_F02_same_spec_new_after_shift.ply,0,1,0,0,0,0,0,0,,133.46,True
pair_015,C04,C04_F02_same_spec_new_after_shift.ply,C04_F03_same_geom_partial_center.ply,0,0,0,0,0,0,0,0,,112.072,True
pair_016,C04,C04_F03_same_geom_partial_center.ply,C04_F04_same_geom_occluded.ply,0,0,0,0,1,0,0,0,,115.378,True
pair_017,C05,C05_F00_combo_start.ply,C05_F01_new_and_occluded_far_gap.ply,0,1,0,0,1,0,0,0,,68.644,True
pair_018,C05,C05_F01_new_and_occluded_far_gap.ply,C05_F02_occluded_returns_partial.ply,0,0,0,0,0,0,0,0,,81.759,True
pair_019,C05,C05_F02_occluded_returns_partial.ply,C05_F03_continued_loading_partial.ply,0,1,0,0,0,0,0,0,,108.345,True
